team,wins,losses,run_diff,streak,games_played,win_pct
BAL,22,11,45,W3,33,.667
NYY,22,13,39,W2,35,.629
BOS,18,16,34,L3,34,.529
TB,16,18,-39,W2,34,.471
TOR,16,18,-34,W1,34,.471
CLE,21,12,40,W1,33,.636
MIN,19,13,20,W12,32,.594
KC,20,14,45,L1,34,.588
DET,18,15,7,L2,33,.545
CWS,7,26,-86,W1,33,.212
SEA,18,15,12,W1,33,.545
TEX,18,16,23,W1,34,.529
OAK,17,17,-14,W6,34,.500
HOU,12,21,-19,L1,33,.364
LAA,12,21,-38,L1,33,.364
PHI,23,11,39,W4,34,.676
ATL,20,11,38,L2,31,.645
NYM,16,17,3,L2,33,.485
WSH,16,17,-13,L1,33,.485
MIA,9,26,-77,L2,35,.257
MIL,20,12,26,L1,32,.625
CHC,20,14,13,W1,34,.588
CIN,16,17,14,L4,33,.485
STL,15,18,-28,L1,33,.455
PIT,15,19,-17,W1,34,.441
LAD,22,13,59,W3,35,.629
SD,18,18,18,W4,36,.500
SF,15,19,-35,L2,34,.441
ARI,14,20,0,L3,34,.412
COL,8,25,-75,L1,33,.242
