game_date,home_team,away_team,winner
2025-07-02,Rays,Athletics,Rays
2025-07-02,Pirates,Cardinals,Pirates
2025-07-02,Phillies,Padres,Padres
2025-07-02,Nationals,Tigers,Tigers
2025-07-02,Mets,Brewers,Brewers
2025-07-02,Phillies,Padres,Phillies
2025-07-02,Marlins,Twins,Twins
2025-07-02,Nationals,Tigers,Nationals
2025-07-02,Blue Jays,Yankees,Blue Jays
2025-07-02,Red Sox,Reds,Reds
2025-07-02,Mets,Brewers,Mets
2025-07-02,Braves,Angels,Braves
2025-07-02,Cubs,Guardians,Cubs
2025-07-02,Rangers,Orioles,Rangers
2025-07-02,Rockies,Astros,Astros
2025-07-02,D-backs,Giants,Giants
2025-07-02,Mariners,Royals,Mariners
2025-07-02,Dodgers,White Sox,Dodgers
