game_date,home_team,away_team,winner
2024-06-16,Cubs,Cardinals,Cardinals
2024-06-16,Braves,Rays,Rays
2024-06-16,Orioles,Phillies,Orioles
2024-06-16,Nationals,Marlins,Nationals
2024-06-16,Blue Jays,Guardians,Blue Jays
2024-06-16,Mets,Padres,Mets
2024-06-16,Astros,Tigers,Astros
2024-06-16,Brewers,Reds,Brewers
2024-06-16,Rockies,Pirates,Pirates
2024-06-16,Giants,Angels,Giants
2024-06-16,D-backs,White Sox,D-backs
2024-06-16,Dodgers,Royals,Dodgers
2024-06-16,Mariners,Rangers,Mariners
2024-06-16,Red Sox,Yankees,Red Sox
