game_date,home_team,away_team,winner
2025-07-09,White Sox,Blue Jays,White Sox
2025-07-09,Brewers,Dodgers,Brewers
2025-07-09,Giants,Phillies,Phillies
2025-07-09,Tigers,Rays,Rays
2025-07-09,Yankees,Mariners,Yankees
2025-07-09,Red Sox,Rockies,Red Sox
2025-07-09,Reds,Marlins,Reds
2025-07-09,Royals,Pirates,Royals
2025-07-09,Twins,Cubs,Twins
2025-07-09,Cardinals,Nationals,Nationals
2025-07-09,Astros,Guardians,Guardians
2025-07-09,Angels,Rangers,Angels
2025-07-09,Padres,D-backs,D-backs
2025-07-09,Athletics,Braves,Braves
