game_date,home_team,away_team,winner
2025-06-17,Marlins,Phillies,Marlins
2025-06-17,Tigers,Pirates,Tigers
2025-06-17,Nationals,Rockies,Rockies
2025-06-17,Yankees,Angels,Angels
2025-06-17,Blue Jays,D-backs,Blue Jays
2025-06-17,Reds,Twins,Reds
2025-06-17,Braves,Mets,Braves
2025-06-17,Rays,Orioles,Orioles
2025-06-17,White Sox,Cardinals,Cardinals
2025-06-17,Cubs,Brewers,Cubs
2025-06-17,Rangers,Royals,Royals
2025-06-17,Mariners,Red Sox,Mariners
2025-06-17,Giants,Guardians,Guardians
2025-06-17,Athletics,Astros,Astros
2025-06-17,Dodgers,Padres,Dodgers
