game_date,home_team,away_team,winner
2024-06-28,Phillies,Marlins,Phillies
2024-06-28,Rays,Nationals,Rays
2024-06-28,Orioles,Rangers,Orioles
2024-06-28,Blue Jays,Yankees,Yankees
2024-06-28,Red Sox,Padres,Padres
2024-06-28,White Sox,Rockies,White Sox
2024-06-28,Mets,Astros,Mets
2024-06-28,Braves,Pirates,Braves
2024-06-28,Royals,Guardians,Royals
2024-06-28,Brewers,Cubs,Brewers
2024-06-28,Cardinals,Reds,Cardinals
2024-06-28,Angels,Tigers,Angels
2024-06-28,Mariners,Twins,Mariners
2024-06-28,Giants,Dodgers,Giants
