game_date,home_team,away_team,winner
2024-06-01,Blue Jays,Pirates,Pirates
2024-06-01,Orioles,Rays,Orioles
2024-06-01,Red Sox,Tigers,Red Sox
2024-06-01,Guardians,Nationals,Guardians
2024-06-01,Astros,Twins,Astros
2024-06-01,Royals,Padres,Padres
2024-06-01,Marlins,Rangers,Rangers
2024-06-01,Brewers,White Sox,Brewers
2024-06-01,Mets,D-backs,D-backs
2024-06-01,Cubs,Reds,Cubs
2024-06-01,Phillies,Cardinals,Phillies
2024-06-01,Mariners,Angels,Mariners
2024-06-01,Giants,Yankees,Yankees
2024-06-01,Dodgers,Rockies,Dodgers
