game_date,home_team,away_team,winner
2024-08-31,Yankees,Cardinals,Cardinals
2024-08-31,Nationals,Cubs,Cubs
2024-08-31,Rays,Padres,Rays
2024-08-31,Guardians,Pirates,Pirates
2024-08-31,Tigers,Red Sox,Tigers
2024-08-31,White Sox,Mets,Mets
2024-08-31,Astros,Royals,Astros
2024-08-31,Twins,Blue Jays,Blue Jays
2024-08-31,Reds,Brewers,Brewers
2024-08-31,Phillies,Braves,Phillies
2024-08-31,D-backs,Dodgers,Dodgers
2024-08-31,Rockies,Orioles,Rockies
2024-08-31,Giants,Marlins,Marlins
2024-08-31,Angels,Mariners,Angels
