team,wins,losses,run_diff,streak,games_played,win_pct
NYY,71,50,110,W1,121,.587
BAL,70,50,87,L2,120,.583
BOS,63,56,24,W2,119,.529
TB,59,60,-55,L2,119,.496
TOR,57,64,-81,W2,121,.471
CLE,71,49,78,W4,120,.592
MIN,67,52,69,W2,119,.563
KC,65,55,81,L2,120,.542
DET,57,63,-7,W2,120,.475
CWS,29,92,-244,L1,121,.240
HOU,64,55,63,W7,119,.538
SEA,63,57,26,L1,120,.525
TEX,55,65,-33,L3,120,.458
LAA,52,68,-95,L2,120,.433
OAK,51,69,-64,W3,120,.425
PHI,69,50,85,L4,119,.580
ATL,63,56,36,W2,119,.529
NYM,61,58,15,L4,119,.513
WSH,55,65,-54,W1,120,.458
MIA,45,75,-156,W2,120,.375
MIL,67,52,98,L3,119,.563
STL,60,60,-56,L3,120,.500
CIN,59,61,48,W3,120,.492
CHC,59,62,8,L2,121,.488
PIT,56,63,-25,L9,119,.471
LAD,71,49,105,W5,120,.592
ARI,68,53,70,W5,121,.562
SD,68,53,64,W2,121,.562
SF,61,61,-7,L3,122,.500
COL,44,77,-190,L2,121,.364
