game_date,home_team,away_team,winner
2024-04-23,Guardians,Red Sox,Guardians
2024-04-23,Reds,Phillies,Reds
2024-04-23,Pirates,Brewers,Pirates
2024-04-23,Nationals,Dodgers,Dodgers
2024-04-23,Rays,Tigers,Tigers
2024-04-23,Braves,Marlins,Braves
2024-04-23,Cubs,Astros,Cubs
2024-04-23,Royals,Blue Jays,Royals
2024-04-23,Twins,White Sox,Twins
2024-04-23,Cardinals,D-backs,D-backs
2024-04-23,Rangers,Mariners,Mariners
2024-04-23,Rockies,Padres,Rockies
2024-04-23,Angels,Orioles,Angels
2024-04-23,Giants,Mets,Giants
