full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Jose Quintana,258,86.61,1974.21,6.5,10,0,66.6,20.51,81.3,7.04,3
Andrew Heaney,507,85.65,2378.59,6.31,18,0,70.9,18.3,84.29,7.07,6
Kevin Gausman,588,89.49,2020.9,6.65,36,0,69.75,19.62,81.69,7.27,6
Jameson Taillon,534,86.13,2369.33,6.68,27,0,69.3,24.2,79.82,7.33,6
Jacob deGrom,532,92.88,2546.65,6.77,38,0,71.14,19.53,85.69,7.5,6
Clay Holmes,555,88.4,2302.79,5.83,26,0,69.29,9.35,85.18,7.28,6
Adrian Houser,376,90.35,2079.46,6.96,20,0,71.29,17.94,85.05,7.3,4
Erick Fedde,548,88.94,2082.71,6.69,25,0,70.21,19.78,84.5,7.2,6
Michael Wacha,427,86.51,1988.06,6.71,21,0,69.02,18.27,80.84,7.28,5
Luis Severino,588,91.57,2293.82,6.23,22,0,68.66,16.0,81.64,7.02,6
Ryan Yarbrough,396,81.19,2018.05,6.17,25,0,69.75,18.52,82.27,7.2,5
Logan Webb,593,89.14,2050.59,6.83,44,0,69.01,8.29,84.44,6.95,6
Stephen Kolek,558,90.87,2230.94,6.39,25,0,70.59,15.13,84.02,6.9,6
Tyler Holton,206,86.98,2303.08,6.47,11,0,68.81,12.77,82.51,7.22,13
Chris Paddack,549,88.74,2059.66,6.96,28,0,69.77,20.84,84.31,7.03,6
Nick Lodolo,551,89.27,2269.32,6.25,33,0,68.84,16.39,83.68,7.22,6
Gavin Williams,595,90.8,2327.7,6.71,33,0,69.39,17.38,83.04,7.2,6
Ryne Nelson,366,91.96,2248.49,6.78,16,0,68.46,22.27,84.23,6.93,6
Taj Bradley,522,92.07,2242.8,6.31,36,0,69.35,10.3,83.12,7.02,6
Garrett Crochet,611,92.62,2494.36,6.77,54,0,69.83,18.94,82.38,7.16,6
Ryan Weathers,406,91.66,2242.29,5.93,23,0,69.53,19.19,82.98,7.2,5
Mitchell Parker,491,89.27,2005.21,6.89,26,0,69.41,19.27,86.53,7.14,6
Hunter Brown,565,92.88,2188.7,6.68,44,0,68.94,17.8,80.15,6.93,6
Jack Kochanowicz,549,92.39,2292.62,6.46,28,0,71.59,8.31,87.58,7.32,6
Bryce Elder,369,88.61,2229.59,6.03,27,0,70.53,6.04,83.52,7.47,4
Yoshinobu Yamamoto,564,89.8,2076.36,6.55,37,0,69.73,8.39,82.41,7.19,6
