game_date,home_team,away_team,winner
2024-05-12,Orioles,D-backs,D-backs
2024-05-12,Red Sox,Nationals,Red Sox
2024-05-12,Pirates,Cubs,Cubs
2024-05-12,Blue Jays,Twins,Twins
2024-05-12,Tigers,Astros,Astros
2024-05-12,Marlins,Phillies,Marlins
2024-05-12,Rays,Yankees,Yankees
2024-05-12,White Sox,Guardians,Guardians
2024-05-12,Brewers,Cardinals,Cardinals
2024-05-12,Rockies,Rangers,Rockies
2024-05-12,Giants,Reds,Giants
2024-05-12,Angels,Royals,Royals
2024-05-12,Padres,Dodgers,Padres
2024-05-12,Mets,Braves,Mets
