team,wins,losses,run_diff,streak,games_played,win_pct
BAL,74,53,93,W1,127,.583
NYY,73,53,112,L3,126,.579
BOS,66,60,22,W1,126,.524
TB,63,62,-51,W1,125,.504
TOR,60,67,-71,W1,127,.472
CLE,73,52,82,W1,125,.584
KC,70,56,107,L1,126,.556
MIN,70,56,66,L3,126,.556
DET,61,65,-5,L1,126,.484
CWS,30,97,-263,L4,127,.236
HOU,68,57,70,L1,125,.544
SEA,64,63,18,L2,127,.504
TEX,58,69,-38,L1,127,.457
LAA,54,72,-109,W1,126,.429
OAK,54,72,-69,L1,126,.429
PHI,73,52,100,L2,125,.584
ATL,67,58,52,W3,125,.536
NYM,65,61,26,L1,126,.516
WSH,56,70,-72,L1,126,.444
MIA,46,80,-172,L2,126,.365
MIL,73,52,107,W6,125,.584
CHC,62,64,6,W1,126,.492
STL,61,64,-63,L2,125,.488
CIN,61,65,26,L1,126,.484
PIT,59,66,-28,W1,125,.472
LAD,75,52,107,W3,127,.591
SD,72,55,74,W2,127,.567
ARI,71,56,75,W2,127,.559
SF,65,63,-7,W3,128,.508
COL,47,79,-195,W2,126,.373
