game_date,home_team,away_team,winner
2024-05-11,Blue Jays,Twins,Blue Jays
2024-05-11,Orioles,D-backs,Orioles
2024-05-11,Pirates,Cubs,Pirates
2024-05-11,Red Sox,Nationals,Red Sox
2024-05-11,Marlins,Phillies,Phillies
2024-05-11,Mets,Braves,Braves
2024-05-11,Rays,Yankees,Rays
2024-05-11,Tigers,Astros,Tigers
2024-05-11,White Sox,Guardians,White Sox
2024-05-11,Brewers,Cardinals,Brewers
2024-05-11,Giants,Reds,Giants
2024-05-11,Rockies,Rangers,Rockies
2024-05-11,Padres,Dodgers,Dodgers
2024-05-11,Angels,Royals,Angels
