game_date,home_team,away_team,winner
2025-06-07,Tigers,Cubs,Cubs
2025-06-07,Twins,Blue Jays,Blue Jays
2025-06-07,Cardinals,Dodgers,Cardinals
2025-06-07,Pirates,Phillies,Pirates
2025-06-07,Giants,Braves,Giants
2025-06-07,Nationals,Rangers,Rangers
2025-06-07,White Sox,Royals,White Sox
2025-06-07,Reds,D-backs,Reds
2025-06-07,Guardians,Astros,Astros
2025-06-07,Rays,Marlins,Marlins
2025-06-07,Brewers,Padres,Brewers
2025-06-07,Yankees,Red Sox,Red Sox
2025-06-07,Angels,Mariners,Angels
2025-06-07,Rockies,Mets,Mets
2025-06-07,Athletics,Orioles,Orioles
