full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Jose Quintana,230,86.48,1909.17,6.49,13,0,,14.0,82.28,,3
Merrill Kelly,143,89.23,2340.64,6.09,19,0,,23.7,82.09,,3
Ross Stripling,173,86.16,2099.54,6.07,12,0,,19.27,81.96,,3
Zack Wheeler,215,90.35,2362.26,7.12,12,0,,19.28,80.8,,3
Nick Pivetta,163,86.58,2442.34,6.59,24,0,,20.67,80.42,,3
Chris Bassitt,251,85.86,2115.36,6.38,14,0,,13.47,83.66,,3
Joe Musgrove,144,86.32,2644.78,5.89,5,0,,16.43,87.36,,2
Cal Quantrill,88,88.1,1739.49,6.54,6,0,,9.58,86.36,,3
Freddy Peralta,92,89.71,2398.42,6.93,22,0,,25.08,81.98,,3
Aaron Civale,86,87.06,2622.26,5.71,12,0,,24.32,81.05,,2
Cristian Javier,171,84.8,2486.32,5.97,10,0,,27.6,80.67,,3
Zack Thompson,160,84.72,1876.74,6.87,6,0,,15.14,80.89,,2
George Kirby,99,90.82,2075.21,6.71,18,0,,27.13,85.06,,3
Logan Allen,82,85.54,1769.1,6.5,11,0,,-1.3,81.71,,3
Spencer Strider,90,90.56,2323.44,6.95,21,0,,22.96,81.85,,3
Bobby Miller,139,92.1,2385.4,6.96,16,0,,19.0,79.96,,2
Kyle Harrison,76,91.13,2159.63,6.8,16,0,,24.6,87.1,,3
