game_date,home_team,away_team,winner
2024-08-04,Reds,Giants,Giants
2024-08-04,Braves,Marlins,Marlins
2024-08-04,Yankees,Blue Jays,Yankees
2024-08-04,Pirates,D-backs,D-backs
2024-08-04,Nationals,Brewers,Nationals
2024-08-04,Guardians,Orioles,Orioles
2024-08-04,Tigers,Royals,Royals
2024-08-04,Astros,Rays,Rays
2024-08-04,Twins,White Sox,Twins
2024-08-04,Rangers,Red Sox,Red Sox
2024-08-04,Angels,Mets,Angels
2024-08-04,Padres,Rockies,Padres
2024-08-04,Mariners,Phillies,Phillies
2024-08-04,Cubs,Cardinals,Cubs
