game_date,home_team,away_team,winner
2025-06-14,Nationals,Marlins,Marlins
2025-06-14,Tigers,Reds,Reds
2025-06-14,Cubs,Pirates,Cubs
2025-06-14,Orioles,Angels,Orioles
2025-06-14,Phillies,Blue Jays,Phillies
2025-06-14,Rangers,White Sox,Rangers
2025-06-14,Braves,Rockies,Braves
2025-06-14,Astros,Twins,Astros
2025-06-14,Royals,Athletics,Athletics
2025-06-14,Brewers,Cardinals,Cardinals
2025-06-14,Mets,Rays,Rays
2025-06-14,D-backs,Padres,D-backs
2025-06-14,Red Sox,Yankees,Red Sox
2025-06-14,Mariners,Guardians,Mariners
2025-06-14,Dodgers,Giants,Dodgers
