game_date,home_team,away_team,winner
2025-06-10,Orioles,Tigers,Tigers
2025-06-10,Guardians,Reds,Reds
2025-06-10,Pirates,Marlins,Marlins
2025-06-10,Phillies,Cubs,Cubs
2025-06-10,Red Sox,Rays,Red Sox
2025-06-10,Mets,Nationals,Mets
2025-06-10,Royals,Yankees,Yankees
2025-06-10,Brewers,Braves,Brewers
2025-06-10,Twins,Rangers,Rangers
2025-06-10,Cardinals,Blue Jays,Blue Jays
2025-06-10,Astros,White Sox,White Sox
2025-06-10,Rockies,Giants,Giants
2025-06-10,Angels,Athletics,Angels
2025-06-10,D-backs,Mariners,D-backs
2025-06-10,Padres,Dodgers,Padres
