full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Patrick Corbin,513,86.11,2162.48,6.76,27,0,70.26,15.45,83.48,7.42,6
Walker Buehler,542,90.36,2307.54,6.52,23,0,70.83,17.29,83.58,7.15,6
Paul Blackburn,330,86.82,2324.41,6.32,13,0,71.74,14.45,83.64,7.36,5
Bailey Ober,561,85.49,2105.6,7.26,26,0,70.37,25.08,83.27,7.49,6
Allan Winans,62,84.69,2261.92,6.66,1,0,69.1,19.92,84.87,7.36,1
Stephen Kolek,538,90.3,2252.46,6.36,21,0,70.67,18.02,83.97,6.97,6
Nick Lodolo,528,89.17,2290.75,6.21,30,0,69.87,16.67,82.92,7.34,6
Trevor Rogers,259,89.53,2102.21,6.76,13,0,72.13,15.22,84.61,7.38,3
Matthew Liberatore,511,88.85,2366.5,6.42,24,0,69.86,16.69,86.43,7.19,6
Ben Brown,521,92.86,2177.18,6.67,33,0,69.14,23.08,86.5,7.28,6
Braxton Ashcraft,223,92.33,2545.49,6.27,12,0,71.26,8.4,81.05,7.28,8
Mitchell Parker,501,88.93,2079.2,6.88,23,0,69.96,18.97,87.72,7.18,6
Spencer Schwellenbach,585,92.34,2203.88,6.95,47,0,69.87,14.08,82.96,7.19,6
Shane Smith,411,91.78,2184.27,6.59,19,0,69.4,17.86,81.41,7.14,5
Jack Kochanowicz,478,92.79,2284.76,6.46,24,0,71.74,11.68,87.34,7.45,6
Bryan Woo,532,93.59,2250.67,6.56,32,0,70.54,16.9,82.7,6.96,6
Chad Patrick,538,90.58,2327.54,6.16,40,0,69.82,25.08,82.29,7.19,6
