game_date,home_team,away_team,winner
2024-07-14,Orioles,Yankees,Orioles
2024-07-14,Red Sox,Royals,Red Sox
2024-07-14,Reds,Marlins,Marlins
2024-07-14,Tigers,Dodgers,Tigers
2024-07-14,Mets,Rockies,Rockies
2024-07-14,Rays,Guardians,Rays
2024-07-14,White Sox,Pirates,Pirates
2024-07-14,Astros,Rangers,Rangers
2024-07-14,Brewers,Nationals,Brewers
2024-07-14,Cardinals,Cubs,Cubs
2024-07-14,Giants,Twins,Giants
2024-07-14,Angels,Mariners,Angels
2024-07-14,D-backs,Blue Jays,Blue Jays
2024-07-14,Padres,Braves,Braves
