mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
457705,andrew mccutchen,PIT,78.8,76.8,7.55,4,0,1,9.0,78.0,366.0,0.26,0.39
502671,paul goldschmidt,NYY,93.32,73.98,7.88,14,0,1,8.0,66.0,381.0,0.29,0.43
514888,josé altuve,HOU,85.99,64.02,7.51,14,1,1,17.0,68.0,424.0,0.28,0.46
518692,freddie freeman,LAD,87.54,69.13,6.8,24,0,2,10.0,85.0,380.0,0.3,0.47
521692,salvador pérez,KC,89.42,71.05,7.9,6,0,0,18.0,77.0,407.0,0.26,0.47
527038,wilmer flores,SF,70.91,59.35,6.59,27,0,2,12.0,64.0,359.0,0.24,0.38
542303,marcell ozuna,ATL,95.86,72.9,6.94,12,0,0,13.0,90.0,395.0,0.24,0.39
543760,marcus semien,TEX,79.03,67.17,7.22,22,0,2,13.0,80.0,424.0,0.23,0.37
543807,george springer,TOR,86.91,71.07,7.61,13,1,0,17.0,72.0,388.0,0.28,0.5
545361,mike trout,LAA,82.77,68.19,6.87,20,1,1,18.0,92.0,334.0,0.24,0.47
553993,eugenio suárez,AZ,88.95,69.98,7.88,11,0,0,36.0,110.0,416.0,0.25,0.59
571448,nolan arenado,STL,81.38,67.59,8.4,15,0,0,10.0,36.0,375.0,0.24,0.38
572233,christian walker,HOU,89.58,69.92,7.2,12,0,0,13.0,112.0,410.0,0.24,0.38
575929,willson contreras,STL,89.38,76.54,8.24,11,0,0,14.0,104.0,413.0,0.26,0.45
592206,nick castellanos,PHI,85.13,70.05,7.35,15,0,1,13.0,85.0,416.0,0.27,0.43
592450,aaron judge,NYY,92.14,75.37,7.78,19,1,0,37.0,119.0,455.0,0.34,0.72
593428,xander bogaerts,SD,88.75,68.87,7.3,16,0,0,6.0,65.0,410.0,0.27,0.38
596019,francisco lindor,NYM,81.09,65.51,7.18,25,2,0,19.0,83.0,457.0,0.25,0.43
596146,max kepler,PHI,80.13,70.56,7.18,10,0,0,11.0,66.0,333.0,0.2,0.37
605137,josh bell,WSH,84.6,65.68,7.9,13,0,0,13.0,59.0,344.0,0.22,0.39
605141,mookie betts,LAD,83.91,63.77,6.78,30,0,0,11.0,46.0,414.0,0.24,0.37
606192,teoscar hernández,LAD,95.14,66.56,7.39,20,0,2,14.0,79.0,331.0,0.25,0.45
607043,brandon nimmo,NYM,80.6,68.05,6.87,24,0,2,19.0,79.0,409.0,0.26,0.47
607208,trea turner,PHI,95.08,72.88,7.56,14,0,0,11.0,74.0,449.0,0.29,0.43
621020,dansby swanson,CHC,90.82,63.01,7.44,16,1,1,16.0,114.0,424.0,0.25,0.42
621439,byron buxton,MIN,85.12,76.07,8.32,23,0,3,23.0,95.0,357.0,0.29,0.57
621493,taylor ward,LAA,80.02,70.83,6.73,19,1,1,23.0,116.0,438.0,0.23,0.49
621566,matt olson,ATL,84.52,73.98,7.43,21,0,1,18.0,105.0,448.0,0.27,0.48
624413,pete alonso,NYM,77.0,73.31,7.24,22,0,1,22.0,104.0,445.0,0.27,0.52
641857,ryan mcmahon,COL,80.2,72.46,6.99,19,1,0,16.0,127.0,401.0,0.22,0.4
642715,willy adames,SF,92.44,72.09,7.84,18,0,1,15.0,113.0,434.0,0.23,0.4
646240,rafael devers,SF,87.52,73.72,7.4,24,1,1,19.0,118.0,470.0,0.26,0.48
647304,josh naylor,AZ,83.64,64.39,7.14,20,0,0,11.0,49.0,394.0,0.29,0.45
650333,luis arráez,SD,82.44,61.6,5.54,16,0,0,5.0,12.0,424.0,0.29,0.4
650402,gleyber torres,DET,82.48,63.58,6.65,17,0,2,9.0,51.0,388.0,0.28,0.42
650489,willi castro,MIN,83.63,64.16,6.87,16,1,2,10.0,79.0,319.0,0.26,0.43
650490,yandy díaz,TB,82.38,73.27,7.53,20,0,0,17.0,60.0,432.0,0.29,0.47
650859,luis rengifo,LAA,79.07,66.21,6.81,16,0,1,4.0,65.0,363.0,0.24,0.32
656555,rhys hoskins,MIL,86.6,72.25,8.12,26,0,1,12.0,85.0,318.0,0.24,0.43
656775,cedric mullins,BAL,87.52,72.68,7.59,18,0,1,13.0,83.0,331.0,0.21,0.4
656941,kyle schwarber,PHI,73.68,71.73,7.47,17,0,1,34.0,120.0,452.0,0.25,0.56
657757,gavin sheets,SD,79.52,71.46,7.26,10,0,1,14.0,74.0,379.0,0.25,0.42
660271,shohei ohtani,LAD,83.27,70.7,7.32,21,0,1,37.0,119.0,465.0,0.27,0.62
660821,jesús sánchez,MIA,79.77,70.77,7.02,12,1,0,9.0,66.0,316.0,0.26,0.42
661388,william contreras,MIL,92.34,68.28,6.95,13,0,0,6.0,80.0,418.0,0.25,0.35
663457,lars nootbaar,STL,92.07,74.65,6.92,7,0,1,12.0,83.0,386.0,0.23,0.38
663538,nico hoerner,CHC,86.28,68.52,6.82,11,0,0,3.0,30.0,403.0,0.29,0.37
663586,austin riley,ATL,80.4,72.65,7.52,16,0,1,14.0,113.0,408.0,0.27,0.44
663647,ke'bryan hayes,PIT,89.09,66.97,6.25,19,0,0,2.0,78.0,373.0,0.24,0.3
663656,kyle tucker,CHC,89.12,68.98,7.58,24,0,1,18.0,62.0,443.0,0.28,0.49
