game_date,home_team,away_team,winner
2025-06-21,Rays,Tigers,Rays
2025-06-21,Yankees,Orioles,Yankees
2025-06-21,Twins,Brewers,Brewers
2025-06-21,Cardinals,Reds,Cardinals
2025-06-21,Cubs,Mariners,Cubs
2025-06-21,Blue Jays,White Sox,Blue Jays
2025-06-21,Pirates,Rangers,Rangers
2025-06-21,Giants,Red Sox,Giants
2025-06-21,Marlins,Braves,Braves
2025-06-21,Phillies,Mets,Mets
2025-06-21,Padres,Royals,Padres
2025-06-21,Rockies,D-backs,D-backs
2025-06-21,Angels,Astros,Angels
2025-06-21,Athletics,Guardians,Guardians
2025-06-21,Dodgers,Nationals,Nationals
