game_date,home_team,away_team,winner
2025-07-21,Guardians,Orioles,Guardians
2025-07-21,Marlins,Padres,Padres
2025-07-21,Pirates,Tigers,Pirates
2025-07-21,Phillies,Red Sox,Phillies
2025-07-21,Nationals,Reds,Nationals
2025-07-21,Blue Jays,Yankees,Blue Jays
2025-07-21,Mets,Angels,Mets
2025-07-21,Braves,Giants,Braves
2025-07-21,Rays,White Sox,White Sox
2025-07-21,Cubs,Royals,Royals
2025-07-21,Rangers,Athletics,Rangers
2025-07-21,Rockies,Cardinals,Cardinals
2025-07-21,D-backs,Astros,Astros
2025-07-21,Mariners,Brewers,Brewers
2025-07-21,Dodgers,Twins,Dodgers
