mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,recent_home_runs,recent_strikeouts,HR,SO,PA,AVG,SLG
457705,andrew mccutchen,PIT,86.59,71.05,7.11,19,0,1,9.0,78.0,371.0,0.25,0.38
502671,paul goldschmidt,NYY,86.17,73.6,7.72,16,1,0,8.0,66.0,385.0,0.29,0.43
514888,josé altuve,HOU,93.62,69.56,8.18,13,0,0,17.0,68.0,426.0,0.28,0.46
521692,salvador pérez,KC,81.03,70.84,8.34,16,0,2,18.0,77.0,407.0,0.26,0.47
542303,marcell ozuna,ATL,77.01,71.11,6.98,24,0,0,13.0,90.0,396.0,0.24,0.39
543760,marcus semien,TEX,92.09,67.62,7.81,26,0,0,13.0,80.0,429.0,0.23,0.36
553993,eugenio suárez,AZ,89.76,69.82,7.65,13,1,0,36.0,111.0,421.0,0.25,0.59
571448,nolan arenado,STL,93.27,70.61,7.94,13,0,0,10.0,36.0,379.0,0.24,0.38
572233,christian walker,HOU,83.4,70.67,7.3,17,0,1,13.0,114.0,412.0,0.23,0.38
573262,mike yastrzemski,SF,79.29,70.19,7.75,18,0,1,8.0,82.0,358.0,0.24,0.36
575929,willson contreras,STL,92.72,74.73,7.39,10,1,1,14.0,104.0,417.0,0.27,0.46
592206,nick castellanos,PHI,87.1,65.0,7.74,11,0,1,13.0,85.0,421.0,0.27,0.43
592450,aaron judge,NYY,74.26,76.4,8.38,23,0,0,37.0,120.0,459.0,0.34,0.71
592518,manny machado,SD,84.28,75.87,7.91,24,0,2,19.0,76.0,443.0,0.29,0.49
593428,xander bogaerts,SD,82.75,67.44,7.56,14,1,1,6.0,65.0,414.0,0.27,0.38
596019,francisco lindor,NYM,82.32,73.33,7.7,11,0,1,20.0,85.0,462.0,0.25,0.44
596146,max kepler,PHI,89.7,71.54,7.36,25,0,2,11.0,66.0,338.0,0.2,0.36
605137,josh bell,WSH,78.24,66.18,7.54,26,0,1,13.0,59.0,348.0,0.22,0.39
606192,teoscar hernández,LAD,83.91,72.67,7.66,22,1,2,15.0,80.0,335.0,0.25,0.46
607043,brandon nimmo,NYM,73.51,73.89,7.45,22,0,0,19.0,81.0,414.0,0.26,0.47
