game_date,home_team,away_team,winner
2024-04-30,Tigers,Cardinals,Tigers
2024-04-30,Tigers,Cardinals,Cardinals
2024-04-30,Orioles,Yankees,Orioles
2024-04-30,Marlins,Rockies,Marlins
2024-04-30,Blue Jays,Royals,Royals
2024-04-30,Red Sox,Giants,Red Sox
2024-04-30,Mets,Cubs,Mets
2024-04-30,White Sox,Twins,Twins
2024-04-30,Brewers,Rays,Brewers
2024-04-30,Rangers,Nationals,Rangers
2024-04-30,Astros,Guardians,Astros
2024-04-30,Angels,Phillies,Phillies
2024-04-30,D-backs,Dodgers,D-backs
2024-04-30,Padres,Reds,Padres
2024-04-30,Mariners,Braves,Mariners
