game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct
2024-10-01,DET,HOU,TARIK SKUBAL,FRAMBER VALDEZ,454.0,87.95,2322.44,5.88,26.0,0.0,69.89,-1.19,82.37,7.18,5.0,466,92.63,2058.95,6.4,32,0,69.75,18.35,81.87,7.03,5,81.37119047619048,62.69907407407408,7.091990740740741,80.18101851851851,70.7945677008177,7.291421957671957,56,40,56,L1,96,0.583,59,38,87,L4,97,0.608
2024-10-01,KC,BAL,COLE RAGANS,CORBIN BURNES,523.0,89.84,2746.88,6.5,34.0,0.0,69.53,8.49,82.13,7.51,6.0,469,89.17,2449.84,6.17,34,0,70.33,18.22,79.78,7.45,5,83.85357142857143,70.80938775510205,7.3989455782312925,82.70285714285714,72.85383333333333,7.622333333333333,43,52,-90,L2,95,0.453,47,50,-28,W1,97,0.485
2024-10-01,NYM,MIL,LUIS SEVERINO,FREDDY PERALTA,546.0,89.56,2258.67,6.76,33.0,0.0,69.55,21.99,81.79,7.25,6.0,563,92.32,2310.49,6.32,33,0,70.53,26.64,81.37,7.17,6,79.86064814814814,69.5098611111111,7.150972222222222,83.05533333333332,71.91683766233766,7.471857142857142,56,40,81,W7,96,0.583,55,42,45,L1,97,0.567
2024-10-01,ATL,SD,AJ SMITH-SHAWVER,MICHAEL KING,,,,,,,,,,,,29,88.39,1773.34,7.09,1,0,68.11,31.09,90.49,7.0,1,86.51902777777777,68.12083333333332,7.326851851851852,81.7969642857143,68.75124007936508,7.331944444444445,52,44,7,L1,96,0.542,42,53,2,L1,95,0.442
