team,wins,losses,run_diff,streak,games_played,win_pct
BAL,19,10,38,W2,29,.655
NYY,19,12,39,L2,31,.613
BOS,17,13,37,W3,30,.567
TOR,15,16,-26,L1,31,.484
TB,14,17,-37,L1,31,.452
CLE,19,10,45,L2,29,.655
KC,18,13,45,W1,31,.581
DET,17,13,7,W1,30,.567
MIN,16,13,10,W9,29,.552
CWS,6,24,-79,L2,30,.200
SEA,17,13,12,W2,30,.567
TEX,16,14,13,W2,30,.533
OAK,14,17,-36,W3,31,.452
LAA,11,19,-37,L1,30,.367
HOU,10,19,-21,W3,29,.345
ATL,19,9,45,L2,28,.679
PHI,20,11,26,W1,31,.645
NYM,15,14,7,W1,29,.517
WSH,14,15,-11,L1,29,.483
MIA,7,24,-63,W1,31,.226
MIL,18,11,19,W1,29,.621
CHC,18,12,14,L1,30,.600
CIN,16,14,22,L1,30,.533
STL,14,16,-27,L1,30,.467
PIT,14,17,-13,L3,31,.452
LAD,19,13,41,L1,32,.594
SF,14,16,-21,L1,30,.467
SD,15,18,-4,W1,33,.455
ARI,14,17,26,W1,31,.452
COL,7,22,-71,L3,29,.241
