team_name,season,date,games,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts,stolen_bases,caught_stealing,batting_avg,on_base_pct,slugging_pct,ops,sacrifice_flies,hit_by_pitch,total_bases,ground_into_double_plays,intentional_walks,iso,runs_per_game,hr_per_game,k_rate,bb_rate,sb_success_rate
NYY,2024,2024-07-27,162,5450,815,1352,243,15,237,782,672,1326,88,26,0.248,0.333,0.429,0.761,57,49,2336,138,26,0.181,5.030864197530864,1.462962962962963,0.24330275229357798,0.12330275229357798,0.7719298245614035
BOS,2024,2024-07-27,162,5577,751,1404,311,30,194,724,493,1570,144,44,0.252,0.319,0.423,0.741,40,73,2357,110,30,0.17099999999999999,4.635802469135802,1.1975308641975309,0.2815133584364354,0.08839878070647302,0.7659574468085106
TB,2024,2024-07-27,162,5389,604,1241,245,23,147,564,493,1485,178,53,0.23,0.302,0.366,0.669,32,78,1973,87,15,0.13599999999999998,3.728395061728395,0.9074074074074074,0.27556132863239935,0.0914826498422713,0.7705627705627706
TOR,2024,2024-07-27,162,5410,671,1306,280,26,156,640,510,1233,72,16,0.241,0.313,0.389,0.703,45,78,2106,126,18,0.14800000000000002,4.1419753086419755,0.9629629629629629,0.22791127541589648,0.09426987060998152,0.8181818181818182
BAL,2024,2024-07-27,162,5567,786,1391,262,33,235,759,489,1359,98,25,0.25,0.315,0.435,0.751,45,64,2424,71,14,0.185,4.851851851851852,1.4506172839506173,0.24411711873540506,0.08783905155379917,0.7967479674796748
CLE,2024,2024-07-27,161,5310,708,1263,245,18,185,670,466,1196,148,46,0.238,0.307,0.395,0.703,43,87,2099,111,30,0.15700000000000003,4.39751552795031,1.1490683229813665,0.22523540489642185,0.08775894538606403,0.7628865979381443
DET,2024,2024-07-27,162,5442,682,1273,244,47,162,656,476,1461,76,24,0.234,0.3,0.385,0.685,41,52,2097,90,12,0.151,4.209876543209877,1.0,0.2684674751929438,0.0874678427048879,0.76
KC,2024,2024-07-27,162,5421,735,1343,264,35,170,711,429,1161,134,31,0.248,0.306,0.403,0.71,54,52,2187,95,22,0.15500000000000003,4.537037037037037,1.0493827160493827,0.21416712783619257,0.07913669064748201,0.8121212121212121
CWS,2024,2024-07-27,162,5383,507,1187,226,9,133,485,395,1403,90,33,0.221,0.278,0.34,0.618,27,43,1830,116,8,0.11900000000000002,3.1296296296296298,0.8209876543209876,0.26063533345718,0.0733791566041241,0.7317073170731707
MIN,2024,2024-07-27,162,5490,742,1352,309,23,183,702,473,1306,65,23,0.246,0.315,0.411,0.726,47,101,2256,115,15,0.16499999999999998,4.580246913580247,1.1296296296296295,0.2378870673952641,0.08615664845173042,0.7386363636363636
HOU,2024,2024-07-27,161,5530,740,1448,264,16,190,701,448,1176,93,24,0.262,0.322,0.418,0.741,46,67,2314,132,28,0.15599999999999997,4.596273291925466,1.1801242236024845,0.21265822784810126,0.0810126582278481,0.7948717948717948
SEA,2024,2024-07-27,162,5330,676,1195,228,13,185,642,571,1625,140,28,0.224,0.311,0.376,0.687,34,116,2004,106,14,0.152,4.172839506172839,1.1419753086419753,0.3048780487804878,0.10712945590994372,0.8333333333333334
TEX,2024,2024-07-27,162,5472,683,1302,220,15,176,652,490,1284,97,25,0.238,0.305,0.38,0.686,30,55,2080,96,20,0.14200000000000002,4.216049382716049,1.0864197530864197,0.23464912280701755,0.089546783625731,0.7950819672131147
LAA,2024,2024-07-27,162,5357,635,1227,227,15,165,596,482,1416,133,50,0.229,0.301,0.369,0.671,35,86,1979,116,4,0.13999999999999999,3.919753086419753,1.0185185185185186,0.26432704872129925,0.08997573268620497,0.726775956284153
OAK,2024,2024-07-27,162,5432,643,1267,240,19,196,619,493,1502,98,26,0.233,0.301,0.393,0.694,37,53,2133,105,11,0.16,3.9691358024691357,1.2098765432098766,0.2765095729013255,0.09075846833578792,0.7903225806451613
ATL,2024,2024-07-27,162,5481,704,1333,273,15,213,674,485,1461,69,20,0.243,0.309,0.415,0.724,39,58,2275,119,11,0.172,4.345679012345679,1.3148148148148149,0.26655719759168034,0.08848750228060573,0.7752808988764045
MIA,2024,2024-07-27,162,5522,637,1347,243,23,150,611,403,1410,125,43,0.244,0.3,0.378,0.678,41,55,2086,119,16,0.134,3.932098765432099,0.9259259259259259,0.2553422672944585,0.07298080405650127,0.7440476190476191
NYM,2024,2024-07-27,162,5510,768,1357,279,15,207,735,514,1382,106,22,0.246,0.319,0.415,0.734,36,92,2287,105,11,0.16899999999999998,4.7407407407407405,1.2777777777777777,0.25081669691470054,0.09328493647912886,0.828125
