game_date,home_team,away_team,winner
2024-07-03,Guardians,White Sox,White Sox
2024-07-03,Marlins,Red Sox,Red Sox
2024-07-03,Pirates,Cardinals,Pirates
2024-07-03,Nationals,Mets,Nationals
2024-07-03,Yankees,Reds,Reds
2024-07-03,Blue Jays,Astros,Astros
2024-07-03,Braves,Giants,Braves
2024-07-03,Cubs,Phillies,Phillies
2024-07-03,Rangers,Padres,Padres
2024-07-03,Royals,Rays,Royals
2024-07-03,Twins,Tigers,Tigers
2024-07-03,Rockies,Brewers,Brewers
2024-07-03,Dodgers,D-backs,D-backs
2024-07-03,Mariners,Orioles,Orioles
