team,wins,losses,run_diff,streak,games_played,win_pct
NYY,90,64,134,W1,154,.584
BAL,86,68,79,W2,154,.558
BOS,76,78,-4,L2,154,.494
TB,76,78,-57,W2,154,.494
TOR,73,81,-52,L1,154,.474
CLE,90,65,85,W3,155,.581
KC,82,72,97,L5,154,.532
MIN,81,73,36,W1,154,.526
DET,80,74,34,L1,154,.519
CWS,36,118,-314,L3,154,.234
HOU,84,70,93,W2,154,.545
SEA,79,75,50,W2,154,.513
TEX,73,81,-66,L2,154,.474
OAK,67,87,-101,L1,154,.435
LAA,62,92,-136,L2,154,.403
PHI,92,62,124,W1,154,.597
NYM,85,69,78,L1,154,.552
ATL,83,71,84,L1,154,.539
WSH,68,86,-104,L5,154,.442
MIA,57,97,-218,W1,154,.370
MIL,88,66,128,L2,154,.571
CHC,79,75,66,W2,154,.513
STL,77,77,-61,L2,154,.500
CIN,75,80,10,W1,155,.484
PIT,72,82,-68,L1,154,.468
LAD,92,62,135,W3,154,.597
SD,88,66,91,W2,154,.571
ARI,86,68,100,W3,154,.558
SF,75,79,-18,W1,154,.487
COL,59,95,-225,L2,154,.383
