team,wins,losses,run_diff,streak,games_played,win_pct
NYY,34,17,79,W1,51,.667
BAL,29,18,52,L3,47,.617
BOS,26,24,39,W4,50,.520
TB,25,26,-40,L4,51,.490
TOR,22,26,-38,W1,48,.458
CLE,33,17,65,W6,50,.660
KC,32,19,72,W6,51,.627
MIN,26,23,5,W2,49,.531
DET,23,26,0,L4,49,.469
CWS,15,35,-107,L1,50,.300
SEA,27,23,1,L1,50,.540
TEX,24,26,-4,L3,50,.480
HOU,22,28,-8,L1,50,.440
LAA,20,30,-28,W1,50,.400
OAK,20,31,-60,L1,51,.392
PHI,36,14,90,W5,50,.720
ATL,28,18,46,W1,46,.609
WSH,21,27,-21,L2,48,.438
NYM,21,28,-19,L3,49,.429
MIA,17,34,-82,W1,51,.333
MIL,28,21,38,L1,49,.571
CHC,27,23,2,L1,50,.540
STL,23,26,-43,W3,49,.469
PIT,23,27,-30,L1,50,.460
CIN,20,29,-9,L1,49,.408
LAD,33,19,77,L2,52,.635
SD,26,26,14,W1,52,.500
ARI,24,26,7,W2,50,.480
SF,24,26,-25,W1,50,.480
COL,16,32,-73,W1,48,.333
