game_date,home_team,away_team,winner
2024-05-10,Tigers,Astros,Astros
2024-05-10,Pirates,Cubs,Cubs
2024-05-10,Rays,Yankees,Yankees
2024-05-10,Orioles,D-backs,Orioles
2024-05-10,Blue Jays,Twins,Twins
2024-05-10,Red Sox,Nationals,Nationals
2024-05-10,Marlins,Phillies,Phillies
2024-05-10,Mets,Braves,Braves
2024-05-10,White Sox,Guardians,White Sox
2024-05-10,Brewers,Cardinals,Brewers
2024-05-10,Rockies,Rangers,Rockies
2024-05-10,Angels,Royals,Royals
2024-05-10,Padres,Dodgers,Padres
2024-05-10,Giants,Reds,Reds
