team,wins,losses,run_diff,streak,games_played,win_pct
NYY,39,23,102,W2,62,.629
TB,34,29,48,W4,63,.540
TOR,34,29,1,W3,63,.540
BOS,30,35,10,L1,65,.462
BAL,25,37,-88,L1,62,.403
DET,42,23,93,W1,65,.646
MIN,34,29,35,L2,63,.540
CLE,33,29,-19,L2,62,.532
KC,33,31,-8,L1,64,.516
CWS,21,43,-52,W2,64,.328
HOU,35,28,23,W2,63,.556
SEA,32,30,1,L4,62,.516
LAA,29,33,-56,W1,62,.468
TEX,29,35,-5,L4,64,.453
Athletics,25,40,-116,W2,65,.385
NYM,40,24,73,W1,64,.625
PHI,37,26,17,L3,63,.587
WSH,30,33,-44,W1,63,.476
ATL,27,35,5,L5,62,.435
MIA,23,38,-84,L5,61,.377
CHC,39,24,104,L1,63,.619
STL,35,28,31,W1,63,.556
MIL,34,30,23,L1,64,.531
CIN,31,33,24,W1,64,.484
PIT,24,40,-63,W1,64,.375
LAD,38,26,71,L1,64,.594
SD,36,26,18,W1,62,.581
SF,36,28,43,W3,64,.563
ARI,31,32,-4,L1,63,.492
COL,12,51,-183,L1,63,.190
