game_date,home_team,away_team,winner
2024-05-25,Tigers,Blue Jays,Tigers
2024-05-25,Mets,Giants,Giants
2024-05-25,White Sox,Orioles,Orioles
2024-05-25,Twins,Rangers,Twins
2024-05-25,Pirates,Braves,Pirates
2024-05-25,Nationals,Mariners,Nationals
2024-05-25,Red Sox,Brewers,Brewers
2024-05-25,Rays,Royals,Royals
2024-05-25,Reds,Dodgers,Reds
2024-05-25,Cardinals,Cubs,Cardinals
2024-05-25,Rockies,Phillies,Phillies
2024-05-25,Angels,Guardians,Guardians
2024-05-25,Padres,Yankees,Yankees
2024-05-25,D-backs,Marlins,D-backs
