team,wins,losses,run_diff,streak,games_played,win_pct
NYY,47,34,113,W2,81,.580
TB,46,36,67,L1,82,.561
TOR,44,37,8,W2,81,.543
BOS,40,43,-2,L6,83,.482
BAL,35,46,-73,W1,81,.432
DET,51,32,91,L1,83,.614
CLE,40,40,-37,L2,80,.500
MIN,40,42,-6,W3,82,.488
KC,38,44,-33,L6,82,.463
CWS,26,56,-84,L1,82,.317
HOU,49,33,53,W5,82,.598
SEA,42,39,12,W1,81,.519
LAA,40,41,-52,L1,81,.494
TEX,40,42,17,L1,82,.488
Athletics,33,51,-142,L2,84,.393
PHI,48,34,50,W1,82,.585
NYM,48,35,57,L1,83,.578
ATL,37,44,8,L3,81,.457
MIA,35,45,-77,W5,80,.438
WSH,34,48,-65,W1,82,.415
CHC,48,34,97,L1,82,.585
MIL,46,36,52,W3,82,.561
STL,45,38,35,W1,83,.542
CIN,43,39,41,W1,82,.524
PIT,33,50,-60,W1,83,.398
LAD,52,31,90,W5,83,.627
SF,45,37,36,W1,82,.549
SD,44,37,16,L1,81,.543
ARI,41,40,5,L2,81,.506
COL,18,64,-217,L4,82,.220
