game_date,home_team,away_team,winner
2024-08-30,Reds,Brewers,Brewers
2024-08-30,Reds,Brewers,Brewers
2024-08-30,Tigers,Red Sox,Red Sox
2024-08-30,Phillies,Braves,Braves
2024-08-30,Nationals,Cubs,Cubs
2024-08-30,Rays,Padres,Padres
2024-08-30,Yankees,Cardinals,Yankees
2024-08-30,Guardians,Pirates,Guardians
2024-08-30,White Sox,Mets,Mets
2024-08-30,Astros,Royals,Astros
2024-08-30,Twins,Blue Jays,Twins
2024-08-30,Rockies,Orioles,Orioles
2024-08-30,Angels,Mariners,Mariners
2024-08-30,D-backs,Dodgers,Dodgers
2024-08-30,Giants,Marlins,Giants
