full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Lance Lynn,553,89.29,2475.03,6.42,28,0,69.49,18.89,81.78,7.12,6
Kevin Gausman,534,89.1,2038.14,6.63,25,0,70.41,11.77,82.53,7.42,6
Jameson Taillon,339,86.44,2483.17,6.66,16,0,68.86,22.92,81.04,7.29,4
Ben Lively,341,86.17,2006.46,7.08,24,0,71.32,23.28,82.65,7.21,4
Austin Gomber,538,83.62,2167.94,6.7,22,0,70.28,17.18,82.1,7.46,6
Tyler Glasnow,474,92.81,2643.94,7.41,48,0,69.4,16.35,83.85,7.05,5
Erick Fedde,572,88.98,2026.17,6.71,34,0,70.45,16.3,82.73,7.13,6
John Means,85,84.97,2288.07,6.24,8,0,69.89,14.0,75.69,7.63,1
Michael Wacha,533,85.71,1937.12,6.69,26,0,68.45,13.11,81.84,7.16,6
Paul Blackburn,555,86.72,2240.8,6.25,28,0,70.22,9.92,82.19,7.39,6
Dane Dunning,511,85.89,2184.88,7.07,36,0,69.31,9.14,83.56,7.34,6
Zack Littell,544,87.64,1823.22,6.24,35,0,69.69,19.78,81.64,7.27,6
Clarke Schmidt,553,89.51,2787.77,6.23,36,0,68.73,18.75,81.19,7.01,6
Brennan Bernardino,191,85.43,2351.52,5.83,12,0,67.67,16.77,79.64,6.94,11
Casey Mize,535,89.83,2024.99,7.13,24,0,68.8,17.22,83.85,6.96,6
Jake Irvin,534,89.84,2410.12,6.94,25,0,68.68,18.17,84.63,6.9,6
Framber Valdez,162,89.08,2331.73,5.61,9,0,72.07,5.07,89.92,7.44,2
Tobias Myers,209,87.86,2136.18,6.66,11,0,70.7,20.32,83.73,7.2,3
Logan Gilbert,566,90.57,1855.85,7.64,41,0,70.07,14.81,81.77,7.36,6
Trevor Rogers,514,88.57,2142.56,6.7,22,0,71.58,12.01,85.78,7.36,6
Andrew Abbott,550,88.2,2370.58,6.66,31,0,69.77,29.2,82.31,7.16,6
Reid Detmers,563,87.48,2117.16,5.94,37,0,69.4,21.06,81.5,7.31,6
Keaton Winn,456,91.36,1985.84,6.19,22,0,70.19,5.96,82.48,7.27,6
Christian Scott,94,89.54,2298.06,6.81,6,0,69.41,30.18,81.71,7.36,1
Jared Jones,494,92.35,2494.48,6.75,41,0,69.98,19.34,82.44,7.3,6
Bryce Elder,243,87.29,2133.19,5.92,10,0,68.86,13.71,83.69,7.19,3
Brandon Pfaadt,545,88.91,2493.51,6.69,36,0,70.54,18.96,84.32,7.47,6
