game_date,home_team,away_team,winner
2024-06-11,Orioles,Braves,Orioles
2024-06-11,Tigers,Nationals,Nationals
2024-06-11,Rays,Cubs,Rays
2024-06-11,Red Sox,Phillies,Phillies
2024-06-11,Reds,Guardians,Guardians
2024-06-11,Mets,Marlins,Marlins
2024-06-11,Twins,Rockies,Rockies
2024-06-11,Cardinals,Pirates,Pirates
2024-06-11,Royals,Yankees,Yankees
2024-06-11,Brewers,Blue Jays,Blue Jays
2024-06-11,D-backs,Angels,D-backs
2024-06-11,Mariners,White Sox,Mariners
2024-06-11,Giants,Astros,Astros
2024-06-11,Dodgers,Rangers,Dodgers
