team,wins,losses,run_diff,streak,games_played,win_pct
BAL,57,33,106,W1,90,.633
NYY,55,37,101,L1,92,.598
BOS,49,41,33,W1,90,.544
TB,44,46,-67,L3,90,.489
TOR,42,49,-57,W2,91,.462
CLE,56,32,97,W2,88,.636
MIN,51,39,51,W2,90,.567
KC,49,43,56,W1,92,.533
DET,42,48,-19,W3,90,.467
CWS,26,66,-164,L2,92,.283
SEA,49,43,4,L2,92,.533
HOU,46,44,37,L2,90,.511
TEX,42,48,8,W3,90,.467
LAA,37,52,-78,L1,89,.416
OAK,34,58,-89,L1,92,.370
PHI,58,32,109,L2,90,.644
ATL,49,39,59,W2,88,.557
NYM,44,44,4,W2,88,.500
WSH,42,48,-17,L1,90,.467
MIA,32,58,-134,W2,90,.356
MIL,53,38,79,W1,91,.582
STL,47,42,-39,W1,89,.528
PIT,42,47,-29,L2,89,.472
CIN,42,48,14,L3,90,.467
CHC,42,49,-24,W1,91,.462
LAD,55,36,104,L1,91,.604
SD,49,45,23,L2,94,.521
ARI,45,45,8,W2,90,.500
SF,44,47,-27,L2,91,.484
COL,32,58,-149,L1,90,.356
