full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Yu Darvish,126,86.94,2452.28,6.54,9,0,69.05,13.0,81.12,7.43,2
Nathan Eovaldi,497,89.08,1978.55,6.54,33,0,69.2,15.8,82.53,7.08,5
Marcus Stroman,539,86.02,2384.61,5.58,23,0,70.62,10.91,82.75,7.23,6
Ben Lively,464,86.26,1964.04,6.98,18,0,69.98,17.08,83.58,7.14,6
Chris Bassitt,555,85.97,2161.29,6.44,40,0,68.37,18.52,83.21,7.02,6
Seth Lugo,575,86.83,2530.93,6.03,38,0,69.78,14.0,81.82,7.29,6
Aaron Civale,423,86.97,2537.89,5.64,23,0,70.05,24.4,82.66,7.24,5
Griffin Canning,464,89.41,2248.99,5.94,24,0,69.98,16.85,83.7,7.4,5
David Peterson,538,88.61,2096.29,7.07,31,0,69.61,11.55,82.85,6.97,6
Zac Gallen,491,88.74,2218.67,6.53,34,0,68.73,12.57,80.94,7.38,5
MacKenzie Gore,540,91.14,2240.47,6.91,30,0,69.15,16.47,83.46,7.14,6
Carmen Mlodzinski,144,91.41,2474.34,6.47,8,0,67.43,12.42,83.45,7.08,6
Andre Pallante,486,91.46,2326.99,6.7,22,0,69.4,6.44,82.97,7.02,5
George Kirby,542,91.88,2198.76,6.48,28,0,68.42,21.41,84.55,6.84,6
Adam Oller,448,89.33,2158.04,6.46,24,0,70.01,23.81,85.48,7.21,5
Taj Bradley,542,91.93,2121.23,6.49,30,0,69.61,17.04,84.93,7.22,6
Keider Montero,516,88.95,2364.37,6.33,23,0,70.08,15.3,81.67,7.18,6
JP Sears,565,86.43,2031.91,6.4,25,0,70.54,20.3,82.16,7.22,6
Kutter Crawford,508,86.78,2356.18,6.08,28,0,69.53,21.98,82.13,7.14,6
Spencer Arrighetti,425,87.1,2486.49,6.97,29,0,69.88,22.34,82.8,7.35,5
Shota Imanaga,557,86.66,2005.87,6.28,31,0,69.23,24.79,82.52,7.33,6
Jonathan Cannon,556,88.44,2180.56,6.21,23,0,70.8,16.02,83.03,7.18,6
Bradley Blalock,529,88.67,2078.44,6.43,20,0,70.45,22.19,84.46,7.21,6
Landen Roupp,295,85.95,2426.63,6.44,19,0,69.29,12.83,83.08,7.65,8
Rhett Lowder,243,89.54,2329.57,6.11,12,0,68.48,17.17,83.16,6.99,3
Yoshinobu Yamamoto,59,89.47,2117.64,6.52,8,0,70.45,13.0,86.14,7.4,1
