game_date,home_team,away_team,winner
2024-09-04,Blue Jays,Phillies,Phillies
2024-09-04,Orioles,White Sox,White Sox
2024-09-04,Reds,Astros,Reds
2024-09-04,Marlins,Nationals,Marlins
2024-09-04,Rays,Twins,Rays
2024-09-04,Mets,Red Sox,Mets
2024-09-04,Braves,Rockies,Braves
2024-09-04,Cubs,Pirates,Cubs
2024-09-04,Royals,Guardians,Royals
2024-09-04,Brewers,Cardinals,Cardinals
2024-09-04,Rangers,Yankees,Rangers
2024-09-04,Angels,Dodgers,Angels
2024-09-04,Padres,Tigers,Padres
2024-09-04,Giants,D-backs,D-backs
