game_date,home_team,away_team,winner
2025-06-04,Marlins,Rockies,Rockies
2025-06-04,Reds,Brewers,Brewers
2025-06-04,Red Sox,Angels,Red Sox
2025-06-04,Pirates,Astros,Pirates
2025-06-04,Nationals,Cubs,Nationals
2025-06-04,Yankees,Guardians,Guardians
2025-06-04,Blue Jays,Phillies,Blue Jays
2025-06-04,Braves,D-backs,D-backs
2025-06-04,Rays,Rangers,Rays
2025-06-04,White Sox,Tigers,Tigers
2025-06-04,Mariners,Orioles,Orioles
2025-06-04,Giants,Padres,Giants
2025-06-04,Athletics,Twins,Twins
2025-06-04,Dodgers,Mets,Mets
