team,wins,losses,run_diff,streak,games_played,win_pct
NYY,76,54,121,L1,130,.585
BAL,76,55,89,W2,131,.580
BOS,67,62,12,L2,129,.519
TB,65,64,-54,W1,129,.504
TOR,63,68,-70,W3,131,.481
CLE,74,55,75,W1,129,.574
KC,72,57,104,L1,129,.558
MIN,72,57,74,W1,129,.558
DET,64,66,5,W2,130,.492
CWS,31,99,-271,L2,130,.238
HOU,69,60,70,L2,129,.535
SEA,65,65,14,L1,130,.500
TEX,60,70,-43,L1,130,.462
OAK,55,75,-81,L2,130,.423
LAA,54,76,-117,L4,130,.415
PHI,75,54,106,W1,129,.581
ATL,70,59,55,W3,129,.543
NYM,68,62,31,W1,130,.523
WSH,58,72,-65,L2,130,.446
MIA,46,83,-189,L5,129,.357
MIL,75,54,112,W2,129,.581
CHC,65,65,23,W3,130,.500
STL,64,65,-57,L1,129,.496
CIN,63,67,30,W1,130,.485
PIT,61,68,-29,L1,129,.473
LAD,77,53,114,L1,130,.592
ARI,74,56,90,W5,130,.569
SD,73,58,63,L1,131,.557
SF,66,65,-11,W1,131,.504
COL,48,82,-201,W1,130,.369
