team,wins,losses,run_diff,streak,games_played,win_pct
NYY,77,54,128,W1,131,.588
BAL,76,56,86,L1,132,.576
BOS,67,63,10,L3,130,.515
TB,65,65,-56,L1,130,.500
TOR,64,68,-64,W4,132,.485
CLE,75,55,77,W2,130,.577
KC,72,58,96,L2,130,.554
MIN,72,58,73,L1,130,.554
DET,65,66,10,W3,131,.496
CWS,31,100,-276,L3,131,.237
HOU,70,60,73,W1,130,.538
SEA,66,65,15,W1,131,.504
TEX,60,71,-45,L2,131,.458
OAK,56,75,-80,W1,131,.427
LAA,54,77,-123,L5,131,.412
PHI,76,54,114,W2,130,.585
ATL,70,60,51,L1,130,.538
NYM,68,63,30,L1,131,.519
WSH,59,72,-61,W1,131,.450
MIA,47,83,-184,W1,130,.362
MIL,75,55,111,L1,130,.577
STL,65,65,-56,W1,130,.500
CHC,65,66,18,L1,131,.496
CIN,63,68,29,L1,131,.481
PIT,62,68,-28,W1,130,.477
LAD,78,53,116,W1,131,.595
ARI,75,56,92,W6,131,.573
SD,74,58,64,W1,132,.561
SF,66,66,-12,L1,132,.500
COL,48,83,-208,L1,131,.366
