game_date,away_team,home_team,away_pitcher,home_pitcher,home_pitcher_total_pitches,home_pitcher_avg_velocity,home_pitcher_avg_spin_rate,home_pitcher_avg_extension,home_pitcher_strikeouts,home_pitcher_whiffs,home_pitcher_avg_bat_speed,home_pitcher_avg_launch_angle,home_pitcher_avg_exit_velocity,home_pitcher_avg_swing_length,home_pitcher_games_played,away_pitcher_total_pitches,away_pitcher_avg_velocity,away_pitcher_avg_spin_rate,away_pitcher_avg_extension,away_pitcher_strikeouts,away_pitcher_whiffs,away_pitcher_avg_bat_speed,away_pitcher_avg_launch_angle,away_pitcher_avg_exit_velocity,away_pitcher_avg_swing_length,away_pitcher_games_played,home_team_avg_launch_speed,home_team_avg_bat_speed,home_team_avg_swing_length,away_team_avg_launch_speed,away_team_avg_bat_speed,away_team_avg_swing_length,home_wins,home_losses,home_run_diff,home_streak,home_games_played,home_win_pct,away_wins,away_losses,away_run_diff,away_streak,away_games_played,away_win_pct
2024-07-11,WSH,NYM,MACKENZIE GORE,DAVID PETERSON,562.0,88.96,2127.28,7.1,26.0,0.0,69.23,8.89,83.75,6.99,6.0,589.0,91.94,2299.61,7.02,35.0,0.0,68.86,21.45,80.34,7.08,6.0,81.01714285714286,69.9120238095238,7.386349206349206,75.15972222222221,65.31032254782254,7.26869658119658,55,42,45,L1,97,0.567,38.0,58.0,-102.0,L4,96.0,0.396
2024-07-11,CLE,DET,SPENCER HOWARD,JACK FLAHERTY,352.0,87.31,2349.7,6.57,25.0,0.0,69.66,19.32,82.92,7.41,4.0,301.0,88.08,2001.25,6.62,16.0,0.0,69.02,22.39,83.01,7.05,5.0,84.19719576719577,71.3752398989899,7.178926767676768,87.62142857142858,68.1309693877551,7.103021541950113,59,38,87,L4,97,0.608,46.0,49.0,-45.0,W2,95.0,0.484
2024-07-11,COL,CIN,AUSTIN GOMBER,HUNTER GREENE,600.0,92.7,2260.74,6.44,42.0,0.0,68.8,29.13,80.62,7.23,6.0,528.0,85.49,2279.29,6.78,20.0,0.0,71.0,16.06,83.72,7.52,6.0,83.17416666666666,70.80357575757576,7.348818181818181,86.36333333333333,71.62366666666667,7.6745,50,47,31,W2,97,0.515,22.0,74.0,-253.0,L2,96.0,0.229
2024-07-11,PIT,MIL,PAUL SKENES,AARON CIVALE,534.0,85.98,2671.76,5.68,30.0,0.0,70.53,21.82,81.17,7.37,6.0,605.0,92.28,2159.76,6.4,51.0,0.0,69.68,12.41,83.2,7.35,6.0,83.98333333333333,67.38479797979798,7.0313257575757575,86.44433333333333,73.002,7.289428571428571,56,40,81,W7,96,0.583,39.0,58.0,-53.0,W1,97.0,0.402
2024-07-11,TOR,SF,KEVIN GAUSMAN,JORDAN HICKS,518.0,87.95,1858.63,6.56,24.0,0.0,69.81,8.61,84.18,7.55,6.0,601.0,91.17,2158.1,6.61,34.0,0.0,70.55,27.04,81.73,7.17,6.0,79.21819727891157,69.41745722531437,7.0565027829313545,83.68676190476191,70.47984126984127,7.470476190476191,52,45,17,L2,97,0.536,55.0,41.0,17.0,L2,96.0,0.573
2024-07-11,LAD,PHI,ANTHONY BANDA,AARON NOLA,579.0,87.7,2333.83,6.85,39.0,0.0,70.04,17.44,81.91,7.39,6.0,210.0,92.59,2171.14,6.38,13.0,0.0,68.54,17.08,81.66,6.98,13.0,88.25068027210885,70.08444444444444,7.422539682539683,82.92138888888888,69.87402116402116,7.459140211640211,55,41,63,W1,96,0.573,58.0,39.0,69.0,W2,97.0,0.598
2024-07-11,CHC,BAL,JUSTIN STEELE,ALBERT SUAREZ,,,,,,,,,,,,548.0,88.63,2484.5,6.35,38.0,0.0,70.66,15.92,80.99,6.99,6.0,79.64999999999999,74.7827380952381,6.748809523809523,82.35863095238095,68.29162202380952,6.881304563492064,43,52,-90,L2,95,0.453,57.0,39.0,119.0,W2,96.0,0.594
2024-07-11,NYY,TB,NESTOR CORTES,SHANE BAZ,160.0,91.41,2367.26,6.54,11.0,0.0,70.61,21.4,87.7,7.12,2.0,,,,,,,,,,,,82.61770833333334,69.49272727272728,7.394722222222223,84.22966666666666,70.74440476190476,7.57670634920635,50,47,61,L4,97,0.515,53.0,43.0,111.0,L2,96.0,0.552
2024-07-11,OAK,BOS,LUIS MEDINA,TANNER HOUCK,549.0,87.93,2232.19,6.09,28.0,0.0,69.89,1.02,84.73,7.4,6.0,,,,,,,,,,,,85.8205,69.32300000000001,7.1416111111111125,,,,53,45,61,W10,98,0.541,,,,,,
2024-07-11,MIA,HOU,RODDERY MUNOZ,,,,,,,,,,,,,,,,,,,,,,,,85.66111111111111,67.81190476190476,7.556111111111111,82.37666666666667,65.22333333333333,6.805555555555556,56,40,56,L1,96,0.583,44.0,51.0,-55.0,W2,95.0,0.463
2024-07-11,SEA,LAA,LUIS CASTILLO,JACK KOCHANOWICZ,60.0,91.94,2266.3,6.57,1.0,0.0,70.2,4.04,85.34,7.43,1.0,,,,,,,,,,,,80.64296296296295,66.40492063492063,6.810899470899471,85.0883630952381,71.77821428571428,7.218794642857143,47,49,-62,L1,96,0.49,51.0,45.0,32.0,W3,96.0,0.531
2024-07-11,ATL,ARI,MAX FRIED,BRANDON PFAADT,490.0,90.6,2561.83,6.72,28.0,0.0,70.5,16.08,84.92,7.31,6.0,591.0,87.04,2200.95,6.55,28.0,0.0,69.4,7.88,80.87,7.15,6.0,,,,86.35266666666666,71.33236263736265,7.054093406593407,47,50,5,W1,97,0.485,42.0,53.0,2.0,L1,95.0,0.442
