team,wins,losses,run_diff,streak,games_played,win_pct
NYY,45,33,105,L1,78,.577
TB,43,35,70,L1,78,.551
TOR,41,36,-10,L1,77,.532
BOS,40,40,11,L3,80,.500
BAL,34,44,-79,W1,78,.436
DET,49,30,82,W1,79,.620
CLE,39,37,-23,W2,76,.513
KC,38,40,-21,L2,78,.487
MIN,37,41,-19,L4,78,.474
CWS,25,54,-83,L1,79,.316
HOU,45,33,46,W1,78,.577
SEA,40,37,21,W2,77,.519
LAA,38,40,-50,W1,78,.487
TEX,38,41,10,L2,79,.481
Athletics,32,48,-127,L2,80,.400
PHI,47,31,41,W1,78,.603
NYM,46,33,60,L2,79,.582
ATL,36,41,26,W1,77,.468
WSH,33,46,-69,W1,79,.418
MIA,31,45,-90,W1,76,.408
CHC,46,32,90,L2,78,.590
MIL,43,36,40,L1,79,.544
STL,43,36,40,W1,79,.544
CIN,41,38,39,W2,79,.519
PIT,32,48,-60,W2,80,.400
LAD,48,31,78,W1,79,.608
SF,44,34,46,W2,78,.564
SD,42,36,21,L1,78,.538
ARI,40,38,7,W1,78,.513
COL,18,60,-202,W1,78,.231
