full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Clayton Kershaw,413,84.39,2331.53,6.55,17,0,71.98,7.54,84.22,7.56,5
Jose Quintana,453,86.68,1973.72,6.54,18,0,70.74,20.87,85.14,7.31,5
Merrill Kelly,546,90.45,2316.95,6.02,32,0,71.29,17.79,80.64,7.34,6
Andrew Heaney,372,85.24,2371.51,6.3,13,0,69.95,19.34,84.79,7.21,5
Miles Mikolas,413,86.94,2242.79,6.2,24,0,70.15,19.87,84.62,7.2,5
Marcus Stroman,340,86.14,2430.65,5.79,12,0,70.5,9.76,80.22,7.37,4
Robbie Ray,577,89.0,2204.5,6.02,34,0,70.42,20.45,83.46,7.28,6
Nick Pivetta,559,87.95,2465.39,6.77,39,0,68.88,22.95,84.76,7.09,6
Jeffrey Springs,556,85.26,1968.6,6.25,24,0,70.19,25.08,80.95,7.4,6
Aaron Civale,535,87.15,2570.54,5.52,19,0,69.74,22.99,84.26,7.22,6
Grant Holmes,581,88.6,2671.99,5.9,28,0,71.23,12.99,83.97,7.54,6
Jacob Latz,366,88.62,2248.83,6.62,21,0,71.01,17.28,82.95,7.37,6
David Peterson,449,87.51,2094.24,7.17,23,0,70.72,5.49,85.83,7.33,5
Joe Ryan,553,90.8,2344.41,6.69,43,0,70.11,26.2,83.08,6.99,6
Kris Bubic,419,87.44,2313.13,6.83,27,0,68.22,11.09,83.48,7.09,5
Gavin Williams,476,90.14,2267.82,6.92,28,0,70.37,19.09,82.86,7.28,5
MacKenzie Gore,478,89.38,2232.41,6.88,21,0,68.03,19.82,80.17,7.09,5
Tarik Skubal,475,92.12,2114.43,6.49,47,0,68.69,20.04,80.17,7.2,5
Trevor Rogers,470,89.29,2132.5,6.66,26,0,70.54,16.69,81.91,7.25,5
Andrew Abbott,463,88.22,2451.55,6.28,19,0,70.82,23.33,80.15,7.29,5
Janson Junk,471,87.96,2322.24,6.48,19,0,70.68,23.16,84.54,7.13,6
Garrett Crochet,490,91.74,2441.98,6.74,40,0,69.97,13.11,83.64,7.18,5
Hunter Brown,558,92.79,2218.67,6.65,39,0,68.19,20.05,82.62,6.81,6
Ryan Pepiot,518,91.38,2482.63,6.65,34,0,71.4,21.98,83.82,7.15,6
Cade Horton,439,90.96,2407.89,6.21,18,0,69.03,12.49,83.24,7.41,5
Bryan Woo,475,93.61,2300.89,6.48,37,0,70.55,23.31,82.73,7.06,5
