game_date,home_team,away_team,winner
2025-07-20,Blue Jays,Giants,Blue Jays
2025-07-20,Rays,Orioles,Orioles
2025-07-20,Braves,Yankees,Yankees
2025-07-20,Phillies,Angels,Angels
2025-07-20,Pirates,White Sox,White Sox
2025-07-20,Nationals,Padres,Padres
2025-07-20,Guardians,Athletics,Guardians
2025-07-20,Marlins,Royals,Royals
2025-07-20,Mets,Reds,Mets
2025-07-20,Cubs,Red Sox,Red Sox
2025-07-20,Rockies,Twins,Twins
2025-07-20,D-backs,Cardinals,D-backs
2025-07-20,Dodgers,Brewers,Brewers
2025-07-20,Mariners,Astros,Astros
2025-07-20,Rangers,Tigers,Tigers
