game_date,home_team,away_team,winner
2024-08-17,Pirates,Mariners,Pirates
2024-08-17,Tigers,Yankees,Tigers
2024-08-17,Cubs,Blue Jays,Cubs
2024-08-17,Mets,Marlins,Mets
2024-08-17,Rays,D-backs,Rays
2024-08-17,Phillies,Nationals,Phillies
2024-08-17,Reds,Royals,Royals
2024-08-17,Orioles,Red Sox,Red Sox
2024-08-17,Rangers,Twins,Twins
2024-08-17,Astros,White Sox,Astros
2024-08-17,Brewers,Guardians,Brewers
2024-08-17,Cardinals,Dodgers,Cardinals
2024-08-17,Rockies,Padres,Padres
2024-08-17,Angels,Braves,Braves
