team,wins,losses,run_diff,streak,games_played,win_pct
BAL,53,30,121,W4,83,.639
NYY,53,32,95,L1,85,.624
BOS,43,40,24,L4,83,.518
TB,41,42,-61,L1,83,.494
TOR,39,44,-41,W1,83,.470
CLE,52,29,102,W1,81,.642
MIN,46,37,39,W1,83,.554
KC,46,39,51,L1,85,.541
DET,37,46,-23,L4,83,.446
CWS,24,61,-161,W3,85,.282
SEA,47,38,8,L1,85,.553
HOU,41,41,28,W1,82,.500
TEX,37,46,-19,L6,83,.446
LAA,36,46,-63,W6,82,.439
OAK,30,55,-104,L1,85,.353
PHI,54,29,120,L1,83,.651
ATL,46,35,55,W2,81,.568
NYM,40,40,13,L1,80,.500
WSH,39,43,-10,W1,82,.476
MIA,30,53,-125,W1,83,.361
MIL,49,34,69,L1,83,.590
STL,42,40,-42,L1,82,.512
PIT,39,43,-36,L2,82,.476
CIN,39,44,17,W1,83,.470
CHC,39,45,-24,W1,84,.464
LAD,52,32,125,W1,84,.619
SD,46,41,37,W5,87,.529
ARI,40,43,-17,W1,83,.482
SF,40,44,-35,L1,84,.476
COL,27,55,-143,L5,82,.329
