game_date,home_team,away_team,winner
2025-06-22,Yankees,Orioles,Yankees
2025-06-22,Rays,Tigers,Tigers
2025-06-22,Pirates,Rangers,Pirates
2025-06-22,Blue Jays,White Sox,White Sox
2025-06-22,Marlins,Braves,Marlins
2025-06-22,Twins,Brewers,Brewers
2025-06-22,Cardinals,Reds,Reds
2025-06-22,Cubs,Mariners,Mariners
2025-06-22,Rockies,D-backs,Rockies
2025-06-22,Athletics,Guardians,Guardians
2025-06-22,Giants,Red Sox,Giants
2025-06-22,Angels,Astros,Astros
2025-06-22,Dodgers,Nationals,Dodgers
2025-06-22,Padres,Royals,Padres
2025-06-22,Phillies,Mets,Phillies
