full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Carlos Carrasco,422,87.8,2060.54,6.64,24,0,71.11,12.67,83.52,7.52,5
Chris Sale,469,88.0,2233.58,6.46,38,0,68.85,15.55,80.3,7.52,5
Yusei Kikuchi,571,91.38,2246.41,7.0,51,0,69.36,19.33,83.74,7.03,6
Marco Gonzales,302,84.38,2115.57,6.43,12,0,70.97,18.19,83.52,7.4,4
Ben Lively,526,86.13,1944.8,6.81,25,0,69.06,23.27,83.53,7.08,6
Blake Snell,546,89.3,2346.16,6.87,49,0,66.93,21.77,81.68,7.39,6
Erick Fedde,457,88.98,2136.93,6.66,24,0,69.25,26.52,82.21,7.02,5
Carson Fulmer,459,89.59,2135.17,6.39,27,0,71.17,18.94,85.5,7.35,6
Paul Blackburn,247,87.35,2266.58,6.28,14,0,69.14,13.44,78.71,7.17,3
Freddy Peralta,485,89.58,2222.73,6.62,31,0,69.85,22.42,82.78,7.19,5
Joe Ryan,411,89.6,2299.9,6.67,29,0,68.68,21.4,81.65,7.05,5
Luis Gil,385,92.66,2299.31,6.86,27,0,70.59,20.93,82.53,7.14,4
Ryan Feltner,489,88.28,2257.65,6.52,29,0,70.12,18.57,83.79,7.18,6
Davis Martin,217,87.57,2548.22,6.46,12,0,69.57,25.48,82.78,7.26,3
Jake Irvin,580,89.45,2412.99,7.17,25,0,70.29,21.08,83.33,7.06,6
Tyler Phillips,402,87.97,2249.46,6.37,16,0,71.29,11.87,83.37,7.38,5
Javier Assad,373,87.3,2051.84,6.6,11,0,70.48,23.12,82.13,7.24,5
Cole Ragans,512,88.41,2462.1,6.21,32,0,69.68,17.14,80.12,7.51,5
Tarik Skubal,491,92.5,2036.45,6.37,39,0,69.09,19.88,84.21,7.1,5
Trevor Rogers,574,88.26,2213.36,6.76,20,0,70.1,17.42,83.19,7.29,6
Davis Daniel,229,86.69,2133.3,6.7,12,0,69.46,23.18,80.76,7.17,3
George Kirby,471,91.35,2100.72,6.54,28,0,69.7,15.47,83.33,7.11,5
Bowden Francis,220,88.03,2152.84,6.8,12,0,71.85,28.23,84.23,7.05,5
Andrew Abbott,569,88.28,2397.39,6.58,30,0,69.98,28.04,81.89,7.03,6
Taj Bradley,465,92.05,2045.09,6.5,29,0,70.09,16.57,83.92,7.19,5
Kutter Crawford,430,86.94,2302.5,6.15,19,0,70.72,26.37,82.29,7.38,5
Valente Bellozo,158,84.86,2272.73,6.02,9,0,70.31,28.67,87.27,7.33,2
Joey Estes,456,86.08,2352.61,5.99,20,0,70.55,32.98,81.3,7.23,6
Brandon Pfaadt,435,90.57,2571.32,6.67,24,0,70.51,13.66,83.6,7.37,5
Gavin Stone,424,91.81,2058.44,6.57,16,0,69.33,11.06,83.54,7.23,5
Will Warren,190,89.16,2470.34,6.71,12,0,70.49,21.24,83.21,7.36,2
