team,wins,losses,run_diff,streak,games_played,win_pct
NYY,37,18,92,L1,55,.673
BAL,33,18,61,W4,51,.647
BOS,27,26,32,W1,53,.509
TB,26,28,-47,W1,54,.481
TOR,23,29,-38,L3,52,.442
CLE,36,17,73,W9,53,.679
KC,34,20,79,L1,54,.630
MIN,28,24,4,L1,52,.538
DET,26,27,0,W3,53,.491
CWS,15,39,-116,L5,54,.278
SEA,28,26,-7,W1,54,.519
TEX,25,29,-6,W1,54,.463
HOU,24,29,-4,W1,53,.453
OAK,22,33,-63,L1,55,.400
LAA,20,33,-36,L3,53,.377
PHI,38,16,93,L1,54,.704
ATL,30,20,47,W1,50,.600
WSH,23,28,-18,L1,51,.451
NYM,22,30,-24,W1,52,.423
MIA,19,35,-78,W1,54,.352
MIL,30,22,45,L1,52,.577
CHC,27,26,-3,L4,53,.509
STL,25,26,-41,W5,51,.490
PIT,25,29,-29,L1,54,.463
CIN,23,30,-3,W3,53,.434
LAD,33,22,69,L5,55,.600
SD,28,28,8,W1,56,.500
SF,27,27,-19,L1,54,.500
ARI,25,28,3,L1,53,.472
COL,18,34,-74,W1,52,.346
