team,wins,losses,run_diff,streak,games_played,win_pct
NYY,19,10,43,W2,29,.655
BAL,17,10,34,L1,27,.630
BOS,16,13,33,W2,29,.552
TOR,14,15,-24,W1,29,.483
TB,13,16,-32,L3,29,.448
CLE,19,9,46,L1,28,.679
KC,17,12,43,L2,29,.586
DET,16,12,3,W2,28,.571
MIN,14,13,8,W7,27,.519
CWS,6,22,-77,W3,28,.214
SEA,15,13,10,L1,28,.536
TEX,15,14,7,W1,29,.517
OAK,12,17,-43,W1,29,.414
LAA,10,18,-36,L4,28,.357
HOU,9,19,-22,W2,28,.321
ATL,19,7,47,W1,26,.731
PHI,19,10,25,W4,29,.655
NYM,14,13,7,W1,27,.519
WSH,13,14,-10,W3,27,.481
MIA,6,23,-59,L6,29,.207
MIL,17,10,14,L2,27,.630
CHC,17,11,14,L2,28,.607
CIN,15,13,21,L1,28,.536
PIT,14,15,-6,L1,29,.483
STL,13,15,-23,L1,28,.464
LAD,18,12,38,L1,30,.600
SF,14,15,-17,W1,29,.483
SD,14,17,-3,L4,31,.452
ARI,13,16,29,W1,29,.448
COL,7,21,-70,L2,28,.250
