game_date,home_team,away_team,winner
2024-08-14,Twins,Royals,Royals
2024-08-14,D-backs,Rockies,D-backs
2024-08-14,Padres,Pirates,Padres
2024-08-14,Red Sox,Rangers,Rangers
2024-08-14,Orioles,Nationals,Orioles
2024-08-14,Reds,Cardinals,Reds
2024-08-14,Guardians,Cubs,Guardians
2024-08-14,Tigers,Mariners,Tigers
2024-08-14,Phillies,Marlins,Phillies
2024-08-14,Rays,Astros,Astros
2024-08-14,White Sox,Yankees,Yankees
2024-08-14,Brewers,Dodgers,Brewers
2024-08-14,Angels,Blue Jays,Blue Jays
2024-08-14,Giants,Braves,Braves
