game_date,home_team,away_team,winner
2024-05-15,Orioles,Blue Jays,Orioles
2024-05-15,Tigers,Marlins,Marlins
2024-05-15,Brewers,Pirates,Brewers
2024-05-15,White Sox,Nationals,White Sox
2024-05-15,D-backs,Reds,D-backs
2024-05-15,Padres,Rockies,Rockies
2024-05-15,Mariners,Royals,Mariners
2024-05-15,Phillies,Mets,Phillies
2024-05-15,Red Sox,Rays,Rays
2024-05-15,Braves,Cubs,Cubs
2024-05-15,Twins,Yankees,Yankees
2024-05-15,Rangers,Guardians,Rangers
2024-05-15,Angels,Cardinals,Angels
2024-05-15,Giants,Dodgers,Giants
