game_date,home_team,away_team,winner
2024-06-22,Tigers,White Sox,White Sox
2024-06-22,Cardinals,Giants,Cardinals
2024-06-22,Cubs,Mets,Cubs
2024-06-22,Phillies,D-backs,Phillies
2024-06-22,Pirates,Rays,Pirates
2024-06-22,Rangers,Royals,Rangers
2024-06-22,Reds,Red Sox,Red Sox
2024-06-22,Guardians,Blue Jays,Guardians
2024-06-22,Astros,Orioles,Astros
2024-06-22,Marlins,Mariners,Mariners
2024-06-22,Yankees,Braves,Yankees
2024-06-22,Padres,Brewers,Padres
2024-06-22,Rockies,Nationals,Rockies
2024-06-22,Dodgers,Angels,Dodgers
