team,wins,losses,run_diff,streak,games_played,win_pct
BAL,60,40,88,L2,100,.600
NYY,60,43,108,L1,103,.583
BOS,54,47,39,W1,101,.535
TB,51,50,-64,W1,101,.505
TOR,46,55,-69,L1,101,.455
CLE,60,40,79,W1,100,.600
MIN,55,45,44,L1,100,.550
KC,56,46,76,L1,102,.549
DET,50,52,2,L1,102,.490
CWS,27,76,-193,L9,103,.262
HOU,52,49,42,L3,101,.515
SEA,53,50,10,L2,103,.515
TEX,49,52,0,W3,101,.485
LAA,44,57,-94,W3,101,.436
OAK,41,62,-60,W2,103,.398
PHI,64,37,110,W1,101,.634
ATL,54,45,55,L3,99,.545
NYM,52,48,13,W2,100,.520
WSH,47,54,-35,L1,101,.465
MIA,36,65,-148,W1,101,.356
MIL,58,43,83,W1,101,.574
STL,53,48,-31,W1,101,.525
PIT,51,50,-11,L1,101,.505
CHC,49,54,-9,L1,103,.476
CIN,48,53,34,W1,101,.475
LAD,61,41,99,W5,102,.598
SD,53,50,17,W3,103,.515
ARI,52,50,20,W1,102,.510
SF,48,54,-35,L2,102,.471
COL,37,65,-170,L1,102,.363
