team,wins,losses,run_diff,streak,games_played,win_pct
NYY,82,61,122,L1,143,.573
BAL,82,62,93,L2,144,.569
BOS,72,71,-6,L1,143,.503
TB,71,72,-55,W2,143,.497
TOR,68,76,-54,L1,144,.472
CLE,81,62,70,L2,143,.566
KC,79,65,97,W4,144,.549
MIN,76,67,38,L3,143,.531
DET,73,71,22,W2,144,.507
CWS,33,111,-302,W1,144,.229
HOU,77,66,87,L1,143,.538
SEA,73,71,46,W1,144,.507
TEX,70,74,-39,W2,144,.486
OAK,62,82,-94,L2,144,.431
LAA,59,84,-125,L2,143,.413
PHI,85,58,117,L2,143,.594
ATL,78,65,64,W1,143,.545
NYM,78,65,58,L1,143,.545
WSH,64,79,-77,L1,143,.448
MIA,54,89,-192,W2,143,.378
MIL,82,61,134,L1,143,.573
CHC,73,70,53,W1,143,.510
STL,72,71,-63,L1,143,.503
CIN,69,75,17,W1,144,.479
PIT,67,76,-50,W1,143,.469
LAD,86,57,119,W2,143,.601
SD,81,64,70,L2,145,.559
ARI,80,64,86,W1,144,.556
SF,71,73,-22,W2,144,.493
COL,54,90,-214,W1,144,.375
