game_date,home_team,away_team,winner
2025-07-05,Twins,Rays,Twins
2025-07-05,Cubs,Cardinals,Cardinals
2025-07-05,Blue Jays,Angels,Blue Jays
2025-07-05,Phillies,Reds,Phillies
2025-07-05,Nationals,Red Sox,Red Sox
2025-07-05,D-backs,Royals,D-backs
2025-07-05,Braves,Orioles,Orioles
2025-07-05,Marlins,Brewers,Marlins
2025-07-05,Mets,Yankees,Mets
2025-07-05,Guardians,Tigers,Tigers
2025-07-05,Dodgers,Astros,Astros
2025-07-05,Rockies,White Sox,White Sox
2025-07-05,Padres,Rangers,Rangers
2025-07-05,Athletics,Giants,Giants
2025-07-05,Mariners,Pirates,Mariners
