game_date,home_team,away_team,winner
2024-06-12,Twins,Rockies,Twins
2024-06-12,Brewers,Blue Jays,Brewers
2024-06-12,Giants,Astros,Giants
2024-06-12,Orioles,Braves,Orioles
2024-06-12,Tigers,Nationals,Nationals
2024-06-12,Rays,Cubs,Cubs
2024-06-12,Red Sox,Phillies,Red Sox
2024-06-12,Reds,Guardians,Reds
2024-06-12,Mets,Marlins,Mets
2024-06-12,Cardinals,Pirates,Cardinals
2024-06-12,Royals,Yankees,Yankees
2024-06-12,D-backs,Angels,Angels
2024-06-12,Mariners,White Sox,Mariners
2024-06-12,Dodgers,Rangers,Rangers
