full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Sonny Gray,503,88.26,2573.4,6.64,44,0,69.83,12.31,81.84,7.28,6
Marcus Stroman,564,87.81,2422.54,5.83,30,0,69.72,9.62,83.04,7.29,6
Ben Lively,439,85.58,2002.43,7.04,26,0,70.6,22.59,83.71,7.18,5
Erick Fedde,569,88.97,2005.33,6.67,33,0,69.56,16.61,81.83,7.1,6
Michael Wacha,543,86.29,1937.1,6.7,24,0,67.67,14.15,81.55,7.12,6
Cal Quantrill,582,88.57,1781.68,6.41,27,0,69.75,12.48,84.45,7.3,6
Hunter Greene,593,92.66,2322.9,6.38,40,0,69.42,27.12,82.6,7.06,6
Tobias Myers,293,88.26,2161.43,6.66,17,0,69.92,18.88,83.19,7.18,4
Logan Gilbert,563,90.54,1880.23,7.61,38,0,69.79,14.96,81.38,7.35,6
Ronel Blanco,494,88.21,1940.19,6.65,30,0,70.89,21.41,81.54,7.35,5
Reid Detmers,559,87.59,2088.58,5.95,30,0,69.65,21.36,82.25,7.31,6
Keaton Winn,427,91.28,1977.32,6.17,22,0,70.69,6.43,82.94,7.29,6
Slade Cecconi,311,89.18,2283.93,6.56,17,0,69.14,24.09,81.82,7.11,4
