game_date,home_team,away_team,winner
2024-06-08,Mets,Phillies,Phillies
2024-06-08,Pirates,Twins,Pirates
2024-06-08,Rangers,Giants,Giants
2024-06-08,Nationals,Braves,Nationals
2024-06-08,White Sox,Red Sox,White Sox
2024-06-08,Reds,Cubs,Reds
2024-06-08,Tigers,Brewers,Brewers
2024-06-08,Royals,Mariners,Royals
2024-06-08,Rays,Orioles,Orioles
2024-06-08,Cardinals,Rockies,Rockies
2024-06-08,Marlins,Guardians,Guardians
2024-06-08,Yankees,Dodgers,Dodgers
2024-06-08,Padres,D-backs,Padres
2024-06-08,Angels,Astros,Astros
